tdtfile,medfile,rat,session,stype,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-py,include-mat,endcol
Eelke-171016-095344,!2017-10-16_09h45m.Subject PPP1.1,PPP1.1,s1,sacc,1.0,PR,171016.0,saccharin,saccharin,534.0,213.0,747.0,,3.0,2.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171016-095344,!2017-10-16_09h46m.Subject PPP1.2,PPP1.2,s1,sacc,2.0,PR,171016.0,saccharin,saccharin,304.0,856.0,1160.0,,2.0,6.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171016-122222,!2017-10-16_12h19m.Subject PPP1.3,PPP1.3,s1,sacc,1.0,PR,171016.0,saccharin,saccharin,362.0,1.0,363.0,,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171016-122222,!2017-10-16_12h20m.Subject PPP1.4,PPP1.4,s1,sacc,2.0,PR,171016.0,saccharin,saccharin,181.0,540.0,721.0,,3.0,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171016-110831,!2017-10-16_11h04m.Subject PPP1.5,PPP1.5,s1,sacc,1.0,NR,171016.0,saccharin,saccharin,436.0,20.0,456.0,,4.0,3.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171016-110831,!2017-10-16_11h12m.Subject PPP1.6,PPP1.6,s1,sacc,2.0,NR,171016.0,saccharin,saccharin,0.0,378.0,378.0,,0.0,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
,!2017-10-16_13h24m.Subject PPP1.7,PPP1.7,s1,sacc,1.0,NR,171016.0,saccharin,saccharin,868.0,44.0,912.0,,6.0,2.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
,!2017-10-16_13h24m.Subject PPP1.8,PPP1.8,s1,sacc,2.0,NR,171016.0,saccharin,saccharin,367.0,498.0,865.0,,3.0,3.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171017-091441,!2017-10-17_09h08m.Subject PPP1.1,PPP1.1,s2,sacc,1.0,PR,171017.0,saccharin,saccharin,88.0,127.0,215.0,,1.0,4.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171017-091441,!2017-10-17_09h08m.Subject PPP1.2,PPP1.2,s2,sacc,2.0,PR,171017.0,saccharin,saccharin,432.0,435.0,867.0,,9.0,4.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171017-103304,!2017-10-17_10h36m.Subject PPP1.3,PPP1.3,s2,sacc,1.0,PR,171017.0,saccharin,saccharin,356.0,1449.0,1805.0,,3.0,10.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171017-103304,!2017-10-17_10h36m.Subject PPP1.4,PPP1.4,s2,sacc,2.0,PR,171017.0,saccharin,saccharin,1183.0,734.0,1917.0,,6.0,5.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171017-114638,!2017-10-17_11h40m.Subject PPPI1.5,PPP1.5,s2,sacc,1.0,NR,171017.0,saccharin,saccharin,413.0,118.0,531.0,,4.0,2.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171017-114638,!2017-10-17_11h40m.Subject PPPI1.6,PPP1.6,s2,sacc,2.0,NR,171017.0,saccharin,saccharin,818.0,571.0,1389.0,,4.0,3.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171017-125439,!2017-10-17_12h49m.Subject PPP1.7 and !2017-10-17_13h20m.Subject PPP1.7,PPP1.7,s2,sacc,1.0,NR,171017.0,saccharin,saccharin,0.0,0.0,0.0,,2.0,1.0,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171017-125439,!2017-10-17_12h49m.Subject PPP1.8 and !2017-10-17_13h20m.Subject PPP1.8,PPP1.8,s2,sacc,2.0,NR,171017.0,saccharin,saccharin,932.0,119.0,1051.0,,6.0,2.0,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171018-114315,"!2017-10-18_11h36m.Subject PPP1,1",PPP1.1,s3,sacc,1.0,PR,171018.0,saccharin,saccharin,262.0,95.0,357.0,27.0,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171018-114315,"!2017-10-18_11h36m.Subject PPP1,2",PPP1.2,s3,sacc,2.0,PR,171018.0,saccharin,saccharin,371.0,345.0,716.0,15.0,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171018-085949,"!2017-10-18_08h51m.Subject PPP1,3",PPP1.3,s3,sacc,1.0,PR,171018.0,saccharin,saccharin,834.0,261.0,1095.0,,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171018-085949,"!2017-10-18_08h52m.Subject PPP1,4",PPP1.4,s3,sacc,2.0,PR,171018.0,saccharin,saccharin,1680.0,0.0,1680.0,,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171018-095037,"!2017-10-18_09h44m.Subject PPP1,5",PPP1.5,s3,sacc,1.0,NR,171018.0,saccharin,saccharin,301.0,359.0,660.0,,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Eelke-171018-095037,"!2017-10-18_09h44m.Subject PPP1,6",PPP1.6,s3,sacc,2.0,NR,171018.0,saccharin,saccharin,344.0,679.0,1023.0,,,,Dv3B,Dv4B,LT2_,RT2_,LL2_,RL2_,0.0,1.0,0.0
Eelke-171018-103753,"!2017-10-18_10h32m.Subject PPP1,7",PPP1.7,s3,sacc,1.0,NR,171018.0,saccharin,saccharin,514.0,10.0,524.0,,,,Dv1B,Dv2B,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
